adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id
360423,武宁县,district,Jiangxi,midstream,九江市,3528.907809994969,360423
360424,修水县,district,Jiangxi,midstream,九江市,4498.6831157352035,360424
360425,永修县,district,Jiangxi,midstream,九江市,1945.8776265286533,360425
360426,德安县,district,Jiangxi,midstream,九江市,853.4888828648834,360426
360428,都昌县,district,Jiangxi,midstream,九江市,2226.2540609858424,360428
360429,湖口县,district,Jiangxi,midstream,九江市,667.7606695519828,360429
360430,彭泽县,district,Jiangxi,midstream,九江市,1548.5480599892667,360430
360481,瑞昌市,district,Jiangxi,midstream,九江市,1428.575131319096,360481
360482,共青城市,district,Jiangxi,midstream,九江市,304.7694194408603,360482
360483,庐山市,district,Jiangxi,midstream,九江市,770.1451378492487,360483
360502,渝水区,district,Jiangxi,midstream,新余市,1792.9430799886527,360502
360521,分宜县,district,Jiangxi,midstream,新余市,1372.864415934072,360521
360602,月湖区,district,Jiangxi,midstream,鹰潭市,137.3253167513237,360602
360603,余江区,district,Jiangxi,midstream,鹰潭市,930.605027398769,360603
360681,贵溪市,district,Jiangxi,midstream,鹰潭市,2479.0632064812976,360681
360702,章贡区,district,Jiangxi,midstream,赣州市,591.319208488803,360702
360703,南康区,district,Jiangxi,midstream,赣州市,1740.4298067739564,360703
360704,赣县区,district,Jiangxi,midstream,赣州市,2987.273378102233,360704
360722,信丰县,district,Jiangxi,midstream,赣州市,2866.6780978602183,360722
360723,大余县,district,Jiangxi,midstream,赣州市,1345.3442328613287,360723
360724,上犹县,district,Jiangxi,midstream,赣州市,1535.697107335186,360724
360725,崇义县,district,Jiangxi,midstream,赣州市,2205.15875354076,360725
360726,安远县,district,Jiangxi,midstream,赣州市,2363.6326122264177,360726
360728,定南县,district,Jiangxi,midstream,赣州市,1321.3758952487754,360728
360729,全南县,district,Jiangxi,midstream,赣州市,1533.8417267049902,360729
360730,宁都县,district,Jiangxi,midstream,赣州市,4051.055865035267,360730
360731,于都县,district,Jiangxi,midstream,赣州市,2890.8217134985393,360731
360732,兴国县,district,Jiangxi,midstream,赣州市,3213.9462137252276,360732
360733,会昌县,district,Jiangxi,midstream,赣州市,2706.546679791455,360733
360734,寻乌县,district,Jiangxi,midstream,赣州市,2336.71606604736,360734
360735,石城县,district,Jiangxi,midstream,赣州市,1567.861595704627,360735
360781,瑞金市,district,Jiangxi,midstream,赣州市,2439.3667849791464,360781
360783,龙南市,district,Jiangxi,midstream,赣州市,1644.8942677450514,360783
360802,吉州区,district,Jiangxi,midstream,吉安市,429.59052625955667,360802
360803,青原区,district,Jiangxi,midstream,吉安市,914.3509588774181,360803
360821,吉安县,district,Jiangxi,midstream,吉安市,2122.7223195402444,360821
360822,吉水县,district,Jiangxi,midstream,吉安市,2509.451557493662,360822
360823,峡江县,district,Jiangxi,midstream,吉安市,1296.7803830153337,360823
360824,新干县,district,Jiangxi,midstream,吉安市,1243.5226627617428,360824
360825,永丰县,district,Jiangxi,midstream,吉安市,2699.6110634633146,360825
360826,泰和县,district,Jiangxi,midstream,吉安市,2503.0502560419577,360826
360827,遂川县,district,Jiangxi,midstream,吉安市,3102.656388593549,360827
360828,万安县,district,Jiangxi,midstream,吉安市,2039.8135043315342,360828
360829,安福县,district,Jiangxi,midstream,吉安市,2787.0131375126753,360829
360830,永新县,district,Jiangxi,midstream,吉安市,2181.9270895225964,360830
360881,井冈山市,district,Jiangxi,midstream,吉安市,1443.338792734898,360881
360902,袁州区,district,Jiangxi,midstream,宜春市,2531.4595536763827,360902
360921,奉新县,district,Jiangxi,midstream,宜春市,1646.3985509286288,360921
360922,万载县,district,Jiangxi,midstream,宜春市,1710.4295198852237,360922
